[2020-01-29 11:54:32] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 11:54:33] 
[2020-01-29 11:54:33] 11:54:32      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 11:55:29] 11:55:29    20001     22897      3.00      0.00 1836272  650528   5.30  node /users/dyv
[2020-01-29 11:55:30] 11:55:30    20001     22897   7578.00      0.00 1831664  646708   5.26  node /users/dyv
[2020-01-29 11:55:31] 11:55:31    20001     22897      2.00      0.00 1831664  646708   5.26  node /users/dyv
[2020-01-29 11:55:32] 11:55:32    20001     22897      2.00      0.00 1831664  646708   5.26  node /users/dyv
[2020-01-29 11:55:33] 11:55:33    20001     22897      2.00      0.00 1831664  646708   5.26  node /users/dyv
[2020-01-29 11:55:34] 11:55:34    20001     22897    783.00      0.00 1835248  649956   5.29  node /users/dyv
[2020-01-29 11:55:35] 11:55:35    20001     22897    730.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:36] 11:55:36    20001     22897    116.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:37] 11:55:37    20001     22897     71.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:38] 11:55:38    20001     22897      9.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:39] 11:55:39    20001     22897      1.00      0.00 1836272  651828   5.31  node /users/dyv
[2020-01-29 11:55:40] 11:55:40    20001     22897     15.84      0.00 1836784  651960   5.31  node /users/dyv
[2020-01-29 11:55:41] 11:55:41    20001     22897    313.00      0.00 1836272  651708   5.31  node /users/dyv
[2020-01-29 11:55:42] 11:55:42    20001     22897    149.00      0.00 1836272  651708   5.31  node /users/dyv
[2020-01-29 11:55:43] 11:55:43    20001     22897      1.00      0.00 1836272  651708   5.31  node /users/dyv
[2020-01-29 11:55:44] 11:55:44    20001     22897      1.00      0.00 1836272  651708   5.31  node /users/dyv
[2020-01-29 11:55:45] 11:55:45    20001     22897     40.00      0.00 1836272  651928   5.31  node /users/dyv
[2020-01-29 11:55:46] 11:55:46    20001     22897      1.00      0.00 1836272  651928   5.31  node /users/dyv
[2020-01-29 11:55:47] 11:55:47    20001     22897      1.00      0.00 1836272  651928   5.31  node /users/dyv
[2020-01-29 11:55:48] 11:55:48    20001     22897      0.00      0.00 1836272  651928   5.31  node /users/dyv
[2020-01-29 11:55:49] 11:55:49    20001     22897    198.00      0.00 1836784  652420   5.31  node /users/dyv
[2020-01-29 11:55:50] 11:55:50    20001     22897    265.00      0.00 1836784  652564   5.31  node /users/dyv
[2020-01-29 11:55:51] 11:55:51    20001     22897      2.00      0.00 1836784  652564   5.31  node /users/dyv
[2020-01-29 11:55:52] 11:55:52    20001     22897     85.00      0.00 1836784  652564   5.31  node /users/dyv
[2020-01-29 11:55:53] 11:55:53    20001     22897      1.00      0.00 1836784  652564   5.31  node /users/dyv
[2020-01-29 11:55:54] 11:55:54    20001     22897     10.00      0.00 1836784  652564   5.31  node /users/dyv
[2020-01-29 11:55:55] 11:55:55    20001     22897    142.00      0.00 1837296  653300   5.32  node /users/dyv
[2020-01-29 11:55:56] 11:55:56    20001     22897      0.00      0.00 1837296  653300   5.32  node /users/dyv
[2020-01-29 11:55:57] 11:55:57    20001     22897    217.00      0.00 1837296  654088   5.32  node /users/dyv
[2020-01-29 11:55:58] 11:55:58    20001     22897      2.00      0.00 1837296  654088   5.32  node /users/dyv
[2020-01-29 11:55:59] 11:55:59    20001     22897      1.00      0.00 1837296  654088   5.32  node /users/dyv
[2020-01-29 11:56:00] 11:56:00    20001     22897   3986.00      0.00 1836272  667632   5.43  node /users/dyv
[2020-01-29 11:56:01] 11:56:01    20001     22897      2.00      0.00 1836272  667632   5.43  node /users/dyv
[2020-01-29 11:56:02] 11:56:02    20001     22897      0.00      0.00 1836272  667632   5.43  node /users/dyv
[2020-01-29 11:56:03] 11:56:03    20001     22897      0.00      0.00 1836272  667632   5.43  node /users/dyv
[2020-01-29 11:56:04] 11:56:04    20001     22897      6.00      0.00 1836272  667632   5.43  node /users/dyv
[2020-01-29 11:56:05] 11:56:05    20001     22897      2.00      0.00 1836272  667632   5.43  node /users/dyv
[2020-01-29 11:56:06] 11:56:06    20001     22897      0.00      0.00 1836272  667632   5.43  node /users/dyv
[2020-01-29 11:56:07] 11:56:07    20001     22897      1.00      0.00 1836272  667632   5.43  node /users/dyv
[2020-01-29 11:56:08] 11:56:08    20001     22897    574.00      0.00 1829616  659612   5.37  node /users/dyv
[2020-01-29 11:56:09] 11:56:09    20001     22897   4225.00      0.00 1741240  542728   4.42  node /users/dyv
[2020-01-29 11:56:10] 11:56:10    20001     22897    248.00      0.00 1741240  542732   4.42  node /users/dyv
[2020-01-29 11:56:11] 11:56:11    20001     22897    226.00      0.00 1741240  543324   4.42  node /users/dyv
[2020-01-29 11:56:12] 11:56:12    20001     22897    153.00      0.00 1741240  543748   4.43  node /users/dyv
[2020-01-29 11:56:13] 11:56:13    20001     22897     45.00      0.00 1741240  543748   4.43  node /users/dyv
