time(s),rerouting_time(ms)
0,6456
30,6018
60,6580
90,6896
120,7107
150,7156
180,7566
210,7405
240,7532
270,7849
300,7702
330,8047
360,7794
390,8013
420,8250
450,8141
480,8244
510,8212
540,8110
570,8125
600,8274
630,8265
660,8464
690,8305
720,8337
750,8288
780,8425
810,8375
840,8605
870,8586
900,8380
930,8807
