time(s),rerouting_time(ms)
0,5609
30,11804
60,19174
90,30001
120,13302
150,29900
180,30000
210,13855
240,1199
270,13697
300,7045
330,20413
360,7093
390,4369
420,20624
450,7284
480,14196
