time(s),rerouting_time(ms)
0,35539
30,4754
60,5372
90,12507
120,6001
150,12802
180,6273
210,13173
240,13213
270,6553
300,13248
330,13258
360,6703
390,13549
420,6853
450,6886
480,13502
510,6931
540,13751
570,7018
600,13734
630,7057
660,13939
690,7156
720,13919
750,7155
780,13914
810,7183
840,14047
870,7234
