time(s),rerouting_time(ms)
0,5894
30,5467
60,6087
90,6697
120,7083
150,6940
180,6938
210,7004
240,7103
270,7263
300,7628
330,7585
360,7447
390,7546
420,7665
450,7530
480,7862
510,7623
540,7870
570,7857
600,7912
630,7768
660,7980
690,8091
720,7803
750,8029
780,8213
810,7876
840,8110
870,8074
900,8010
930,7952
