time(s),rerouting_time(ms)
0,4360
30,897
60,1827
90,1045
120,306
150,951
180,1439
210,1637
240,2672
270,1499
300,1014
330,1696
390,2346
480,1852
540,1405
570,1768
630,1851
660,1481
690,1160
720,1376
750,1258
780,1675
810,1707
840,1068
870,2186
900,1294
