time(s),rerouting_time(ms)
0,4881
30,11247
60,11804
90,5468
120,12264
150,12627
180,5858
210,12691
240,12714
270,6092
300,3493
330,6196
360,19615
390,6288
420,19615
450,6436
480,19876
510,6457
540,19813
570,6514
600,13380
630,6636
660,13361
690,6627
720,13318
750,6663
780,13520
810,6701
840,13455
870,6835
