time(s),rerouting_time(ms)
0,5886
30,5138
60,6359
90,6216
120,6194
150,6354
180,6742
210,6530
240,7024
270,6864
300,6770
330,7049
360,6834
390,6911
420,7390
450,7125
480,6965
510,7049
540,7271
570,7094
600,7124
630,7184
660,7520
690,7509
720,7401
750,7314
780,7352
810,7302
840,7544
870,7519
900,7468
930,7436
