time(s),rerouting_time(ms)
0,6728
30,6906
60,7546
90,7893
120,8087
150,8347
180,8442
210,8472
240,8593
270,8588
300,8557
330,8748
360,8797
390,8840
420,8825
450,8911
480,8979
510,8975
540,9068
570,9058
600,9134
630,9036
660,9122
690,9155
720,9269
750,9161
780,9162
810,10056
840,9223
