time(s),rerouting_time(ms)
0,12332
1,4766
2,5385
3,5774
4,19275
5,6187
6,19739
7,6362
8,19788
9,6523
10,20097
11,6636
12,20114
13,6786
14,13456
15,4224
16,13653
17,4263
18,13581
19,4327
20,7056
21,4334
22,20623
23,7160
24,4383
25,20515

