time(s),rerouting_time(ms)
0,5753
30,5302
60,5872
90,6285
120,6492
150,6684
180,6931
210,6914
240,6944
270,7034
300,7069
330,7164
360,7228
390,7251
420,7288
450,7396
480,7576
510,7430
540,7463
570,7513
600,7555
630,7581
660,7627
690,7767
720,7660
750,7707
780,7791
810,7767
840,7741
870,7832
900,7771
930,7773
