time(s),rerouting_time(ms)
0,6051
30,19155
60,6460
90,13620
120,7211
150,14011
180,7519
210,14468
240,7755
270,2501
300,5154
330,8074
360,30001
390,15316
420,14999
450,14980
480,15015
510,8284
540,14975
570,8353
600,8450
630,15216
660,8545
