[2020-01-29 14:02:20] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 14:02:21] 
[2020-01-29 14:02:21] 14:02:20      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 14:03:17] 14:03:17    20001     22897    136.00      0.00 1687788  487824   3.97  node /users/dyv
[2020-01-29 14:03:18] 14:03:18    20001     22897    119.00      0.00 1687788  488352   3.98  node /users/dyv
[2020-01-29 14:03:19] 14:03:19    20001     22897    133.00      0.00 1687788  487876   3.97  node /users/dyv
[2020-01-29 14:03:20] 14:03:20    20001     22897    124.00      0.00 1687788  488404   3.98  node /users/dyv
[2020-01-29 14:03:21] 14:03:21    20001     22897    141.00      0.00 1687788  487924   3.97  node /users/dyv
[2020-01-29 14:03:22] 14:03:22    20001     22897    125.00      0.00 1687788  488452   3.98  node /users/dyv
[2020-01-29 14:03:23] 14:03:23    20001     22897    139.00      0.00 1687788  487956   3.97  node /users/dyv
[2020-01-29 14:03:24] 14:03:24    20001     22897    122.00      0.00 1687788  488484   3.98  node /users/dyv
[2020-01-29 14:03:25] 14:03:25    20001     22897    143.00      0.00 1687788  487988   3.97  node /users/dyv
[2020-01-29 14:03:26] 14:03:26    20001     22897    125.00      0.00 1687788  488516   3.98  node /users/dyv
[2020-01-29 14:03:27] 14:03:27    20001     22897    140.00      0.00 1687788  488020   3.97  node /users/dyv
[2020-01-29 14:03:28] 14:03:28    20001     22897    124.00      0.00 1687788  488548   3.98  node /users/dyv
[2020-01-29 14:03:29] 14:03:29    20001     22897    142.00      0.00 1687788  488052   3.97  node /users/dyv
[2020-01-29 14:03:30] 14:03:30    20001     22897   1105.00      0.00 1687788  488184   3.97  node /users/dyv
[2020-01-29 14:03:31] 14:03:31    20001     22897    142.00      0.00 1687788  488712   3.98  node /users/dyv
[2020-01-29 14:03:32] 14:03:32    20001     22897    124.00      0.00 1687788  489240   3.98  node /users/dyv
[2020-01-29 14:03:33] 14:03:33    20001     22897     82.00      0.00 1687788  489504   3.98  node /users/dyv
[2020-01-29 14:03:34] 14:03:34    20001     22897      0.00      0.00 1687788  489504   3.98  node /users/dyv
[2020-01-29 14:03:35] 14:03:35    20001     22897     43.00      0.00 1687788  489740   3.99  node /users/dyv
[2020-01-29 14:03:36] 14:03:36    20001     22897      0.00      0.00 1687788  489740   3.99  node /users/dyv
[2020-01-29 14:03:37] 14:03:37    20001     22897      0.00      0.00 1687788  489740   3.99  node /users/dyv
[2020-01-29 14:03:38] 14:03:38    20001     22897      0.00      0.00 1687788  489740   3.99  node /users/dyv
[2020-01-29 14:03:39] 14:03:39    20001     22897     12.00      0.00 1687788  489740   3.99  node /users/dyv
[2020-01-29 14:03:40] 14:03:40    20001     22897      0.00      0.00 1687788  489740   3.99  node /users/dyv
[2020-01-29 14:03:41] 14:03:41    20001     22897     75.00      0.00 1687788  489932   3.99  node /users/dyv
[2020-01-29 14:03:42] 14:03:42    20001     22897    124.00      0.00 1687788  490460   3.99  node /users/dyv
[2020-01-29 14:03:43] 14:03:43    20001     22897     51.00      0.00 1687788  488652   3.98  node /users/dyv
[2020-01-29 14:03:44] 14:03:44    20001     22897      0.00      0.00 1687788  488652   3.98  node /users/dyv
[2020-01-29 14:03:45] 14:03:45    20001     22897    111.00      0.00 1687788  487892   3.97  node /users/dyv
[2020-01-29 14:03:46] 14:03:46    20001     22897    130.00      0.00 1687788  488420   3.98  node /users/dyv
[2020-01-29 14:03:47] 14:03:47    20001     22897    143.00      0.00 1687788  488188   3.97  node /users/dyv
[2020-01-29 14:03:48] 14:03:48    20001     22897    125.00      0.00 1687788  488452   3.98  node /users/dyv
[2020-01-29 14:03:49] 14:03:49    20001     22897    134.00      0.00 1687788  487964   3.97  node /users/dyv
[2020-01-29 14:03:50] 14:03:50    20001     22897    134.00      0.00 1687788  488756   3.98  node /users/dyv
[2020-01-29 14:03:51] 14:03:51    20001     22897    123.00      0.00 1687788  489020   3.98  node /users/dyv
[2020-01-29 14:03:52] 14:03:52    20001     22897    136.00      0.00 1687788  489548   3.99  node /users/dyv
[2020-01-29 14:03:53] 14:03:53    20001     22897    124.00      0.00 1687788  490076   3.99  node /users/dyv
