time(s),total_rx(bytes)
0,0
1,0
2,3649
3,5713
4,7777
5,9325
6,10357
7,10873
9,11905
10,11905
11,11905
12,11905
13,11905
14,11905
15,11905
16,11905
17,11905
18,11905
19,11905
20,11905
21,11905
22,11905
23,11905
24,11905
25,11905
26,11905
27,11905
28,11905
29,11905
30,11905
31,11905
33,15414
34,17994
35,19542
36,21090
37,22638
38,23154
39,23670
40,23670
41,23670
42,23670
43,23670
44,23670
45,23670
46,23670
47,23670
48,23670
49,23670
50,23670
51,23670
52,23670
53,23670
54,23670
55,23670
56,23670
58,23670
59,23670
60,23670
61,23670
62,23670
63,27695
64,29759
65,31307
66,32855
67,33887
68,34919
69,35435
70,35435
71,35435
72,35435
73,35435
74,35435
75,35435
76,35435
77,35435
78,35435
79,35435
80,35435
81,35435
83,35435
84,35435
85,35435
86,35435
87,35435
88,35435
89,35435
90,35435
91,35435
92,36364
93,39976
94,41524
95,43588
96,44620
97,45652
98,46684
99,47200
100,47200
101,47200
103,47200
104,47200
105,47200
106,47200
107,47200
108,47200
109,47200
110,47200
111,47200
112,47200
113,47200
114,47200
115,47200
116,47200
117,47200
118,47200
119,47200
120,47200
121,47200
122,49677
123,52463
124,54011
125,55559
126,56591
128,57623
129,58655
130,59171
131,59171
132,59171
133,59171
134,59171
135,59171
136,59171
137,59171
138,59171
139,59171
140,59171
141,59171
142,59171
143,59171
144,59171
145,59171
146,59171
147,59171
148,59171
149,59171
150,59171
151,59171
153,62680
154,64744
155,66292
156,67324
157,68872
158,69904
159,70870
160,70936
161,70936
162,70936
163,70936
164,70936
165,70936
166,70936
167,70936
168,70936
169,70936
170,70936
171,70936
172,70936
173,70936
174,70936
175,70936
177,70936
178,70936
179,70936
180,70936
181,70936
182,70936
183,74961
184,76509
185,78057
186,79605
187,80637
188,81669
189,82185
190,82701
191,82701
192,82701
193,82701
194,82701
195,82701
196,82701
197,82701
198,82701
199,82701
200,82701
202,82701
203,82701
204,82701
205,82701
206,82701
207,82701
208,82701
209,82701
210,82701
211,82701
212,84146
213,87242
214,88790
215,90338
216,91370
217,92402
218,93434
219,94466
220,94466
222,94466
223,94466
224,94466
225,94466
226,94466
227,94466
228,94466
229,94466
230,94466
231,94466
232,94466
233,94466
234,94466
235,94466
236,94466
237,94466
238,94466
239,94466
240,94466
241,94466
242,96943
243,99523
244,101071
245,102685
247,103341
248,104373
249,105405
250,106437
251,106437
252,106437
253,106437
254,106437
255,106437
256,106437
257,106437
258,106437
259,106437
260,106437
261,106437
262,106437
263,106437
264,106437
265,106437
266,106437
267,106437
268,106437
270,106437
271,106437
272,106437
273,109946
274,112010
275,113558
276,114590
277,115622
278,116654
279,117686
280,118202
281,118202
282,118202
283,118202
284,118202
285,118202
286,118202
287,118202
288,118202
289,118202
290,118202
291,118202
292,118202
294,118202
295,118202
296,118202
297,118202
298,118202
299,118202
300,118202
301,118202
302,119065
303,122227
304,124291
305,125323
306,126871
307,127903
308,128935
309,129451
310,129967
311,129967
312,129967
313,129967
314,129967
315,129967
316,129967
317,129967
319,129967
320,129967
321,129967
322,129967
323,129967
324,129967
325,129967
326,129967
327,129967
328,129967
329,129967
330,129967
331,129967
332,131928
333,134508
334,136056
335,137604
336,138636
337,139668
338,140700
339,141732
340,141732
341,141732
343,141732
344,141732
345,141732
346,141732
347,141732
348,141732
349,141732
350,141732
351,141732
352,141732
353,141732
354,141732
355,141732
356,141732
357,141732
358,141732
359,141732
360,141732
361,141732
362,144209
363,146789
364,148337
365,149369
366,150401
368,151433
369,152465
370,153497
371,153497
372,153497
373,153497
374,153497
375,153497
376,153497
377,153497
378,153497
379,153497
380,153497
381,153497
382,153497
383,153497
384,153497
385,153497
386,153497
387,153497
388,153497
389,153497
390,153497
392,153497
393,156696
394,158760
395,160308
396,161856
397,162888
398,163920
399,164436
400,165468
401,165468
402,165468
403,165468
404,165468
405,165468
406,165468
407,165468
408,165468
409,165468
411,165468
412,165468
413,165468
414,165468
415,165468
416,165468
417,165468
418,165468
419,165468
420,165468
421,165468
422,166913
423,169493
424,171557
425,172589
426,174137
427,175169
428,175685
429,176717
431,177233
432,177233
433,177233
434,177233
435,177233
436,177233
437,177233
438,177233
439,177233
440,177233
441,177233
442,177233
443,177233
