time(s),rerouting_time(ms)
0,5544
30,5132
60,5709
90,6282
120,6235
150,6354
180,6439
210,6505
240,6606
270,6667
300,7119
330,6806
360,7086
390,6955
420,6939
450,7036
480,7048
510,7288
540,7114
570,7207
600,7177
630,7272
660,7559
690,7421
720,7556
750,7702
780,7383
810,7391
840,7763
870,7391
900,7445
930,7422
