time(s),rerouting_time(ms)
0,50199
1,11686
2,18339
3,5431
4,12426
5,19232
6,5949
7,12576
8,29723
9,6106
10,29955
11,6184
12,6249
13,6281
14,6336
15,6395
16,6439
17,6462
18,6502
19,6545
20,6607
21,6593
