time(s),rerouting_time(ms)
0,6195
30,5494
60,6131
90,6510
120,6774
150,6983
180,7045
210,7163
240,7243
270,7428
300,7382
330,7443
360,7488
390,7533
420,7746
450,7703
480,7732
510,7784
540,7794
570,7805
600,7930
630,7939
660,7994
690,8002
720,8052
750,8041
780,8085
810,8114
840,8124
870,8137
900,8280
930,8082
