time(s),rerouting_time(ms)
0,6910
30,6309
60,6835
90,6994
120,7286
150,7507
180,7749
210,8037
240,8178
270,8130
300,8313
330,8105
360,8178
390,8573
420,8484
450,8317
480,8301
510,8483
540,8655
570,8545
600,8526
630,8538
660,8764
690,8837
720,8664
750,8652
780,8717
810,8720
840,8678
870,9251
900,9050
