time(s),rerouting_time(ms)
0,6196
30,5737
60,6656
90,6828
120,7106
150,7230
180,7395
210,7805
240,7560
270,7632
300,7698
330,7781
360,7800
390,8196
420,7895
450,8201
480,8274
510,8076
540,8115
570,8195
600,8210
630,8319
660,8369
690,8275
720,8334
750,8307
780,8673
810,8796
840,8417
870,8397
900,8445
930,8375
