time(s),rerouting_time(ms)
0,5549
30,30026
60,5748
90,12868
120,6412
150,6716
180,4142
210,20221
240,6961
270,20559
300,30005
330,14401
360,1233
390,20731
420,7294
450,4409
480,4420
510,4894
540,4946
